lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.9052,-77.0503,5,POINT (-8577200.161468966 4708101.368771389),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9052,-77.0502,4,POINT (-8577189.029519888 4708101.368771389),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9052,-77.0452,1,POINT (-8576632.43206592 4708101.368771389),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9052,-77.0451,1,POINT (-8576621.300116843 4708101.368771389),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9052,-77.045,2,POINT (-8576610.168167762 4708101.368771389),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9052,-77.0449,3,POINT (-8576599.036218682 4708101.368771389),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9052,-77.0448,4,POINT (-8576587.904269604 4708101.368771389),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9052,-77.0447,5,POINT (-8576576.772320526 4708101.368771389),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9052,-77.0446,2,POINT (-8576565.640371446 4708101.368771389),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9052,-77.042,1,POINT (-8576276.209695382 4708101.368771389),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9052,-77.0419,3,POINT (-8576265.077746302 4708101.368771389),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9052,-77.0418,8,POINT (-8576253.945797224 4708101.368771389),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9052,-77.0417,5,POINT (-8576242.813848145 4708101.368771389),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9052,-77.0416,6,POINT (-8576231.681899065 4708101.368771389),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9052,-77.0414,1,POINT (-8576209.418000905 4708101.368771389),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9052,-77.0344,2,POINT (-8575430.181565356 4708101.368771389),medium,68.0,20005,dark,Balanced,15th & M St NW
38.9052,-77.0343,1,POINT (-8575419.049616273 4708101.368771389),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.9052,-77.0055,1,POINT (-8572213.048281427 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,1st & M St NE
38.9052,-77.0043,1,POINT (-8572079.464892475 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9052,-77.004,1,POINT (-8572046.069045238 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9052,-77.003,1,POINT (-8571934.749554444 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9052,-77.0026,1,POINT (-8571890.22175813 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9052,-77.0025,1,POINT (-8571879.089809047 4708101.368771389),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9053,-77.0505,8,POINT (-8577222.425367124 4708115.673776526),medium,70.0,20037,dark,Balanced,23rd & M St NW
38.9053,-77.0504,73,POINT (-8577211.293418046 4708115.673776526),large,70.0,20037,dark,High-turnover hub,23rd & M St NW
